14
MP*-CMSTP.exe
TF-sam.sav
MP-msiexec.exe
MF-advpack.dll
SO-https://access-message.top/secure-login
SF-C:\Windows\system32\certreq.exe
MF-\Users\admin\AppData\Local\Temp\a9fbcacb2a62569888063fed2fb9b863.exe
TF-Test.c
TP*-cmstp.exe
TP*-gpt4all-installer-win64.exe 
SO-https://vision.fn-pz.com
TF-aug23-1.zip
MP*-Fichero Análsis 1.exe
TF-C:\Windows\System32\Notepad
31
0 1 EX-1
0 2 FR-1
2 1 WR-1
0 3 EX-1
2 3 EX-1
0 4 ST-1
4 2 RF-1
0 5 WR-1
2 5 WR-1
0 6 RD-1
2 6 RD-1
0 7 WR-1
2 7 WR-1
0 8 IJ-1
8 1 UK-2
0 9 FR-1
2 9 IJ-1
9 3 RD-3
9 4 ST-3
9 5 UK-3
10 0 RF-1
2 10 ST-1
2 11 RD-1
2 12 FR-1
12 3 WR-4
12 4 ST-4
12 6 WR-4
12 7 WR-4
12 10 ST-4
12 11 EX-4
12 13 UK-4

